Susceptible,Infected,Recover,Dead,Iter,Zone
49,1,0,0,1,0
50,1,0,0,1,1
49,1,0,0,1,2
47,1,0,0,1,3
50,1,0,0,1,4
47,1,0,0,1,5
49,1,0,0,1,6
48,1,0,0,1,7
53,1,0,0,1,8
48,1,0,0,1,9
48,1,0,0,2,0
50,5,0,0,2,1
48,1,0,0,2,2
45,1,0,0,2,3
50,1,0,0,2,4
48,0,0,0,2,5
47,1,0,0,2,6
49,1,0,0,2,7
51,1,0,0,2,8
51,1,0,0,2,9
48,1,0,0,3,0
48,6,0,0,3,1
51,1,0,0,3,2
45,1,0,0,3,3
50,1,0,0,3,4
47,0,0,0,3,5
47,1,0,0,3,6
47,1,0,0,3,7
51,1,0,0,3,8
52,1,0,0,3,9
47,1,0,0,4,0
48,6,0,0,4,1
50,1,0,0,4,2
48,1,0,0,4,3
50,1,0,0,4,4
45,0,0,0,4,5
48,1,0,0,4,6
46,1,0,0,4,7
51,1,0,0,4,8
53,1,0,0,4,9
53,1,0,0,5,0
44,9,0,0,5,1
49,1,0,0,5,2
45,1,0,0,5,3
51,1,0,0,5,4
45,0,0,0,5,5
47,1,0,0,5,6
46,1,0,0,5,7
51,1,0,0,5,8
52,1,0,0,5,9
52,1,0,0,6,0
43,8,0,0,6,1
49,1,0,0,6,2
44,1,0,0,6,3
50,1,0,0,6,4
47,0,0,0,6,5
49,1,0,0,6,6
44,1,0,0,6,7
51,3,0,0,6,8
53,1,0,0,6,9
54,1,0,0,7,0
44,7,0,0,7,1
50,1,0,0,7,2
45,0,0,0,7,3
50,1,0,0,7,4
47,0,0,0,7,5
47,1,0,0,7,6
42,2,0,0,7,7
52,3,0,0,7,8
51,2,0,0,7,9
52,1,0,0,8,0
45,7,0,0,8,1
51,1,0,0,8,2
45,0,0,0,8,3
49,1,0,0,8,4
47,0,0,0,8,5
48,1,0,0,8,6
43,2,0,0,8,7
50,3,0,0,8,8
52,2,0,0,8,9
54,1,0,0,9,0
42,8,0,0,9,1
49,1,0,0,9,2
48,0,0,0,9,3
50,1,0,0,9,4
46,0,0,0,9,5
46,1,0,0,9,6
45,2,0,0,9,7
48,4,0,0,9,8
52,2,0,0,9,9
53,1,0,0,10,0
45,7,0,0,10,1
48,0,0,0,10,2
48,1,0,0,10,3
50,1,0,0,10,4
43,0,0,0,10,5
48,1,0,0,10,6
46,2,0,0,10,7
48,4,0,0,10,8
50,4,0,0,10,9
50,1,0,0,11,0
48,6,0,0,11,1
48,0,0,0,11,2
48,1,0,0,11,3
49,1,0,0,11,4
45,0,0,0,11,5
48,1,0,0,11,6
45,3,0,0,11,7
48,7,0,0,11,8
47,4,0,0,11,9
54,1,0,0,12,0
50,6,0,0,12,1
45,0,0,0,12,2
47,1,0,0,12,3
47,1,0,0,12,4
45,2,0,0,12,5
46,1,0,0,12,6
46,5,0,0,12,7
45,7,0,0,12,8
48,3,0,0,12,9
54,1,0,0,13,0
51,5,0,0,13,1
45,0,0,0,13,2
44,2,0,0,13,3
49,3,0,0,13,4
43,2,0,0,13,5
45,1,0,0,13,6
46,5,0,0,13,7
45,7,0,0,13,8
49,3,0,0,13,9
57,2,0,0,14,0
50,5,0,0,14,1
44,1,0,0,14,2
43,2,0,0,14,3
50,4,0,0,14,4
42,2,0,0,14,5
45,1,0,0,14,6
43,6,0,0,14,7
46,6,0,0,14,8
49,2,0,0,14,9
58,2,0,0,15,0
52,5,0,0,15,1
46,0,0,0,15,2
43,2,0,0,15,3
48,5,0,0,15,4
39,2,0,0,15,5
46,2,0,0,15,6
44,6,0,0,15,7
43,6,0,0,15,8
49,2,0,0,15,9
57,2,0,0,16,0
51,4,0,0,16,1
46,0,0,0,16,2
44,3,0,0,16,3
46,5,0,0,16,4
38,2,0,0,16,5
48,2,0,0,16,6
44,7,0,0,16,7
43,6,0,0,16,8
50,2,0,0,16,9
56,2,0,0,17,0
51,5,0,0,17,1
46,0,0,0,17,2
45,2,1,0,17,3
43,5,0,0,17,4
39,2,0,0,17,5
49,2,0,0,17,6
44,7,0,0,17,7
