Susceptible,Infected,Recover,Dead,Iter,Zone
49,1,0,0,1,0
50,1,0,0,1,1
48,1,0,0,1,2
49,1,0,0,1,3
49,1,0,0,1,4
49,1,0,0,1,5
52,1,0,0,1,6
49,1,0,0,1,7
48,1,0,0,1,8
47,1,0,0,1,9
48,1,0,0,2,0
47,1,0,0,2,1
48,1,0,0,2,2
49,1,0,0,2,3
48,1,0,0,2,4
47,1,0,0,2,5
55,1,0,0,2,6
50,1,0,0,2,7
51,1,0,0,2,8
47,1,0,0,2,9
45,1,0,0,3,0
48,1,0,0,3,1
47,0,0,0,3,2
48,1,0,0,3,3
46,3,0,0,3,4
45,1,0,0,3,5
56,1,0,0,3,6
52,0,0,0,3,7
53,1,0,0,3,8
50,1,0,0,3,9
43,1,0,0,4,0
47,1,0,0,4,1
44,0,0,0,4,2
49,1,0,0,4,3
45,3,0,0,4,4
45,1,0,0,4,5
57,1,0,0,4,6
55,0,0,0,4,7
53,1,0,0,4,8
52,1,0,0,4,9
45,1,0,0,5,0
46,1,0,0,5,1
44,0,0,0,5,2
47,1,0,0,5,3
44,3,0,0,5,4
48,1,0,0,5,5
59,1,0,0,5,6
54,0,0,0,5,7
51,1,0,0,5,8
52,1,0,0,5,9
45,1,0,0,6,0
45,1,0,0,6,1
44,0,0,0,6,2
47,1,0,0,6,3
48,3,0,0,6,4
49,1,0,0,6,5
56,1,0,0,6,6
54,0,0,0,6,7
53,1,0,0,6,8
49,1,0,0,6,9
47,1,0,0,7,0
47,2,0,0,7,1
45,0,0,0,7,2
46,1,0,0,7,3
51,2,0,0,7,4
48,1,0,0,7,5
56,1,0,0,7,6
52,0,0,0,7,7
51,1,0,0,7,8
47,1,0,0,7,9
45,1,0,0,8,0
45,2,0,0,8,1
47,0,0,0,8,2
47,1,0,0,8,3
49,2,0,0,8,4
52,1,0,0,8,5
55,1,0,0,8,6
53,0,0,0,8,7
51,1,0,0,8,8
46,1,0,0,8,9
46,1,0,0,9,0
45,2,0,0,9,1
45,0,0,0,9,2
49,1,0,0,9,3
48,2,0,0,9,4
52,1,0,0,9,5
56,1,0,0,9,6
52,0,0,0,9,7
51,1,0,0,9,8
46,1,0,0,9,9
45,1,0,0,10,0
45,2,0,0,10,1
46,0,0,0,10,2
53,1,0,0,10,3
50,2,0,0,10,4
52,1,0,0,10,5
55,1,0,0,10,6
50,0,0,0,10,7
50,1,0,0,10,8
44,1,0,0,10,9
44,1,0,0,11,0
44,2,0,0,11,1
44,0,0,0,11,2
54,1,0,0,11,3
51,2,0,0,11,4
52,1,0,0,11,5
54,1,0,0,11,6
49,0,0,0,11,7
50,1,0,0,11,8
48,1,0,0,11,9
45,1,0,0,12,0
42,2,0,0,12,1
49,0,0,0,12,2
53,1,0,0,12,3
51,2,0,0,12,4
55,1,0,0,12,5
52,1,0,0,12,6
47,0,0,0,12,7
48,1,0,0,12,8
48,1,0,0,12,9
51,0,0,0,13,0
45,2,0,0,13,1
48,0,0,0,13,2
50,3,0,0,13,3
49,2,0,0,13,4
56,1,0,0,13,5
49,1,0,0,13,6
47,0,0,0,13,7
48,1,0,0,13,8
46,1,0,0,13,9
51,0,0,0,14,0
44,2,0,0,14,1
49,0,0,0,14,2
51,3,0,0,14,3
47,2,0,0,14,4
54,1,0,0,14,5
51,1,0,0,14,6
49,0,0,0,14,7
47,1,0,0,14,8
46,1,0,0,14,9
51,0,0,0,15,0
43,3,0,0,15,1
49,0,0,0,15,2
55,3,0,0,15,3
47,2,0,0,15,4
52,1,0,0,15,5
51,1,0,0,15,6
50,0,0,0,15,7
48,0,0,0,15,8
43,1,0,0,15,9
52,0,0,0,16,0
45,3,0,0,16,1
46,0,0,0,16,2
56,3,0,0,16,3
47,2,0,0,16,4
49,1,0,0,16,5
52,1,0,0,16,6
50,0,0,0,16,7
48,0,0,0,16,8
44,1,0,0,16,9
51,0,0,0,17,0
42,3,0,0,17,1
48,0,0,0,17,2
58,3,0,0,17,3
47,1,1,0,17,4
51,1,0,0,17,5
51,1,0,0,17,6
48,0,0,0,17,7
