Susceptible,Infected,Recover,Dead,Iter,Zone
199,1,0,0,1,0
198,1,0,0,1,1
203,1,0,0,1,2
197,1,0,0,1,3
198,1,0,0,1,4
198,1,0,0,1,5
198,3,0,0,1,6
200,1,0,0,1,7
196,2,0,0,1,8
198,3,0,0,1,9
202,1,0,0,2,0
194,2,0,0,2,1
204,1,0,0,2,2
195,1,0,0,2,3
195,3,0,0,2,4
198,1,0,0,2,5
199,3,0,0,2,6
203,1,0,0,2,7
192,6,0,0,2,8
196,3,0,0,2,9
200,1,0,0,3,0
194,2,0,0,3,1
207,1,0,0,3,2
193,1,0,0,3,3
193,5,0,0,3,4
199,1,0,0,3,5
198,3,0,0,3,6
206,0,0,0,3,7
190,9,0,0,3,8
194,3,0,0,3,9
196,2,0,0,4,0
191,3,0,0,4,1
209,2,0,0,4,2
192,1,0,0,4,3
185,12,0,0,4,4
197,1,0,0,4,5
198,3,0,0,4,6
207,0,0,0,4,7
188,15,0,0,4,8
194,4,0,0,4,9
200,2,0,0,5,0
189,5,0,0,5,1
210,2,0,0,5,2
190,2,0,0,5,3
180,15,0,0,5,4
196,1,0,0,5,5
198,4,0,0,5,6
206,0,0,0,5,7
181,22,0,0,5,8
193,4,0,0,5,9
200,2,0,0,6,0
186,7,0,0,6,1
212,2,0,0,6,2
191,2,0,0,6,3
175,17,0,0,6,4
194,1,0,0,6,5
201,5,0,0,6,6
208,0,0,0,6,7
178,24,0,0,6,8
191,4,0,0,6,9
201,2,0,0,7,0
184,7,0,0,7,1
212,4,0,0,7,2
191,2,0,0,7,3
173,18,0,0,7,4
193,1,0,0,7,5
201,5,0,0,7,6
205,0,0,0,7,7
177,27,0,0,7,8
185,12,0,0,7,9
198,3,0,0,8,0
183,8,0,0,8,1
203,13,0,0,8,2
188,2,0,0,8,3
169,21,0,0,8,4
192,5,0,0,8,5
202,5,0,0,8,6
204,0,0,0,8,7
171,34,0,0,8,8
183,16,0,0,8,9
196,3,0,0,9,0
182,8,0,0,9,1
192,23,0,0,9,2
191,2,0,0,9,3
168,24,0,0,9,4
189,9,0,0,9,5
193,13,0,0,9,6
204,0,0,0,9,7
166,39,0,0,9,8
176,22,0,0,9,9
195,5,0,0,10,0
183,8,0,0,10,1
176,38,0,0,10,2
191,2,0,0,10,3
164,28,0,0,10,4
177,20,0,0,10,5
183,22,0,0,10,6
206,0,0,0,10,7
164,41,0,0,10,8
169,28,0,0,10,9
193,5,0,0,11,0
179,14,0,0,11,1
167,46,0,0,11,2
191,2,0,0,11,3
161,30,0,0,11,4
175,24,0,0,11,5
175,31,0,0,11,6
198,7,0,0,11,7
157,46,0,0,11,8
161,38,0,0,11,9
191,5,0,0,12,0
170,25,0,0,12,1
154,57,0,0,12,2
184,8,0,0,12,3
162,31,0,0,12,4
168,28,0,0,12,5
171,38,0,0,12,6
191,13,0,0,12,7
158,49,0,0,12,8
157,40,0,0,12,9
185,11,0,0,13,0
160,34,0,0,13,1
146,64,0,0,13,2
177,13,0,0,13,3
159,35,0,0,13,4
165,33,0,0,13,5
165,44,0,0,13,6
187,20,0,0,13,7
153,53,0,0,13,8
151,45,0,0,13,9
176,20,0,0,14,0
151,42,0,0,14,1
141,67,0,0,14,2
172,18,0,0,14,3
150,45,0,0,14,4
154,44,0,0,14,5
160,51,0,0,14,6
181,27,0,0,14,7
148,59,0,0,14,8
142,52,0,0,14,9
166,29,0,0,15,0
144,50,0,0,15,1
135,73,1,0,15,2
166,24,0,0,15,3
147,47,0,0,15,4
150,49,0,0,15,5
150,59,0,0,15,6
171,35,0,0,15,7
143,65,0,0,15,8
138,58,0,0,15,9
154,41,0,0,16,0
135,59,0,0,16,1
128,80,1,0,16,2
156,36,0,0,16,3
145,48,0,0,16,4
145,55,0,0,16,5
139,71,0,0,16,6
159,45,0,0,16,7
138,69,0,0,16,8
132,63,0,1,16,9
148,47,0,0,17,0
129,66,0,0,17,1
125,85,1,0,17,2
151,41,0,0,17,3
140,53,0,0,17,4
144,57,0,0,17,5
