Susceptible,Infected,Recover,Dead,Iter,Zone
200,1,0,0,1,0
198,1,0,0,1,1
196,1,0,0,1,2
196,2,0,0,1,3
197,2,0,0,1,4
199,3,0,0,1,5
199,1,0,0,1,6
200,1,0,0,1,7
201,1,0,0,1,8
200,1,0,0,1,9
199,2,0,0,2,0
197,3,0,0,2,1
195,1,0,0,2,2
198,3,0,0,2,3
195,2,0,0,2,4
197,5,0,0,2,5
198,1,0,0,2,6
201,1,0,0,2,7
202,1,0,0,2,8
199,0,0,0,2,9
198,3,0,0,3,0
196,6,0,0,3,1
196,1,0,0,3,2
201,3,0,0,3,3
194,3,0,0,3,4
194,6,0,0,3,5
198,1,0,0,3,6
198,1,0,0,3,7
200,2,0,0,3,8
199,0,0,0,3,9
197,3,0,0,4,0
188,13,0,0,4,1
194,1,0,0,4,2
203,3,0,0,4,3
191,4,0,0,4,4
194,6,0,0,4,5
201,1,0,0,4,6
198,2,0,0,4,7
198,2,0,0,4,8
201,0,0,0,4,9
197,3,0,0,5,0
184,17,0,0,5,1
193,2,0,0,5,2
204,3,0,0,5,3
189,4,0,0,5,4
197,6,0,0,5,5
202,2,0,0,5,6
198,4,0,0,5,7
195,2,0,0,5,8
198,0,0,0,5,9
196,4,0,0,6,0
183,19,0,0,6,1
191,3,0,0,6,2
202,3,0,0,6,3
188,5,0,0,6,4
197,6,0,0,6,5
199,2,0,0,6,6
200,4,0,0,6,7
196,2,0,0,6,8
200,0,0,0,6,9
194,4,0,0,7,0
181,22,0,0,7,1
189,3,0,0,7,2
204,3,0,0,7,3
187,5,0,0,7,4
200,6,0,0,7,5
198,3,0,0,7,6
198,4,0,0,7,7
195,3,0,0,7,8
195,6,0,0,7,9
192,5,0,0,8,0
176,28,0,0,8,1
184,8,0,0,8,2
204,3,0,0,8,3
188,5,0,0,8,4
200,7,0,0,8,5
198,3,0,0,8,6
198,4,0,0,8,7
194,2,0,0,8,8
190,11,0,0,8,9
190,7,0,0,9,0
168,35,0,0,9,1
181,11,0,0,9,2
203,3,0,0,9,3
185,10,0,0,9,4
199,8,0,0,9,5
199,3,0,0,9,6
199,5,0,0,9,7
192,3,0,0,9,8
182,17,0,0,9,9
191,7,0,0,10,0
159,41,0,0,10,1
175,16,0,0,10,2
204,3,0,0,10,3
177,18,0,0,10,4
200,9,0,0,10,5
197,3,0,0,10,6
197,6,0,0,10,7
192,3,0,0,10,8
181,21,0,0,10,9
183,19,0,0,11,0
156,43,0,0,11,1
172,20,0,0,11,2
204,3,0,0,11,3
171,22,0,0,11,4
196,14,0,0,11,5
197,4,0,0,11,6
190,12,0,0,11,7
185,10,0,0,11,8
170,29,0,0,11,9
176,28,0,0,12,0
152,47,0,0,12,1
166,26,0,0,12,2
202,3,0,0,12,3
172,26,0,0,12,4
190,24,0,0,12,5
194,4,0,0,12,6
181,19,0,0,12,7
176,16,0,0,12,8
162,36,0,0,12,9
168,37,0,0,13,0
148,53,0,0,13,1
157,32,0,0,13,2
204,2,0,0,13,3
165,31,0,0,13,4
179,35,0,0,13,5
192,4,0,0,13,6
173,28,0,0,13,7
175,20,0,0,13,8
155,42,0,0,13,9
164,42,0,0,14,0
147,55,0,0,14,1
153,36,0,0,14,2
197,11,0,0,14,3
160,34,0,0,14,4
167,47,0,0,14,5
190,4,0,0,14,6
168,33,0,0,14,7
165,31,0,0,14,8
151,45,0,0,14,9
155,53,0,0,15,0
141,58,0,0,15,1
151,38,0,0,15,2
188,19,0,0,15,3
149,45,0,0,15,4
157,57,0,0,15,5
189,4,0,0,15,6
157,47,0,0,15,7
156,39,0,0,15,8
150,47,0,0,15,9
146,62,0,0,16,0
138,64,0,0,16,1
147,42,0,0,16,2
174,31,0,0,16,3
147,46,0,0,16,4
146,67,0,0,16,5
187,4,0,0,16,6
149,56,0,0,16,7
155,40,0,0,16,8
147,52,0,0,16,9
140,67,2,0,17,0
130,74,0,0,17,1
141,48,0,0,17,2
162,41,0,0,17,3
144,47,0,0,17,4
130,81,0,0,17,5
182,11,0,0,17,6
142,62,0,0,17,7
