Susceptible,Infected,Recover,Dead,Iter,Zone
200,1,0,0,1,0
201,1,0,0,1,1
200,3,0,0,1,2
198,1,0,0,1,3
196,4,0,0,1,4
200,1,0,0,1,5
198,1,0,0,1,6
198,1,0,0,1,7
197,1,0,0,1,8
197,1,0,0,1,9
200,1,0,0,2,0
199,2,0,0,2,1
197,4,0,0,2,2
196,1,0,0,2,3
192,6,0,0,2,4
201,2,0,0,2,5
201,1,0,0,2,6
196,2,0,0,2,7
198,2,0,0,2,8
198,1,0,0,2,9
199,3,0,0,3,0
198,2,0,0,3,1
198,4,0,0,3,2
195,2,0,0,3,3
194,6,0,0,3,4
201,3,0,0,3,5
199,2,0,0,3,6
196,2,0,0,3,7
196,3,0,0,3,8
196,1,0,0,3,9
197,4,0,0,4,0
195,3,0,0,4,1
196,5,0,0,4,2
193,5,0,0,4,3
191,6,0,0,4,4
202,3,0,0,4,5
200,3,0,0,4,6
195,2,0,0,4,7
196,3,0,0,4,8
200,1,0,0,4,9
194,6,0,0,5,0
193,3,0,0,5,1
198,5,0,0,5,2
186,10,0,0,5,3
187,9,0,0,5,4
201,3,0,0,5,5
201,3,0,0,5,6
193,3,0,0,5,7
198,4,0,0,5,8
201,2,0,0,5,9
194,7,0,0,6,0
191,4,0,0,6,1
197,7,0,0,6,2
187,12,0,0,6,3
186,10,0,0,6,4
199,3,0,0,6,5
199,4,0,0,6,6
190,3,0,0,6,7
199,6,0,0,6,8
199,3,0,0,6,9
194,8,0,0,7,0
192,4,0,0,7,1
198,7,0,0,7,2
184,15,0,0,7,3
184,11,0,0,7,4
198,3,0,0,7,5
196,4,0,0,7,6
186,8,0,0,7,7
192,11,0,0,7,8
202,3,0,0,7,9
190,12,0,0,8,0
186,8,0,0,8,1
199,8,0,0,8,2
179,22,0,0,8,3
176,18,0,0,8,4
196,4,0,0,8,5
197,3,0,0,8,6
182,13,0,0,8,7
188,14,0,0,8,8
202,3,0,0,8,9
185,17,0,0,9,0
179,14,0,0,9,1
201,8,0,0,9,2
179,22,0,0,9,3
166,26,0,0,9,4
192,10,0,0,9,5
195,4,0,0,9,6
176,18,0,0,9,7
180,22,0,0,9,8
201,5,0,0,9,9
177,25,0,0,10,0
179,16,0,0,10,1
200,7,0,0,10,2
172,28,0,0,10,3
160,32,0,0,10,4
187,15,0,0,10,5
193,5,0,0,10,6
171,23,0,0,10,7
176,29,0,0,10,8
199,6,0,0,10,9
174,27,0,0,11,0
172,24,0,0,11,1
194,13,0,0,11,2
161,39,0,0,11,3
155,38,0,0,11,4
178,24,0,0,11,5
192,6,0,0,11,6
167,26,0,0,11,7
167,37,0,0,11,8
199,7,0,0,11,9
171,30,0,0,12,0
164,31,0,0,12,1
183,24,0,0,12,2
158,43,0,0,12,3
152,39,0,0,12,4
164,37,0,0,12,5
188,13,0,0,12,6
164,30,0,0,12,7
167,39,0,0,12,8
193,10,0,0,12,9
167,34,0,0,13,0
161,33,0,0,13,1
181,28,0,0,13,2
151,49,0,0,13,3
144,46,0,0,13,4
157,44,0,0,13,5
179,22,0,0,13,6
162,35,0,0,13,7
159,46,0,0,13,8
189,13,0,0,13,9
161,39,0,0,14,0
160,35,0,0,14,1
177,34,0,0,14,2
144,54,0,0,14,3
143,46,0,0,14,4
152,52,0,0,14,5
169,33,0,0,14,6
159,37,0,0,14,7
155,49,0,0,14,8
186,15,0,0,14,9
158,42,0,0,15,0
155,39,0,0,15,1
170,45,0,0,15,2
141,54,0,0,15,3
136,52,0,0,15,4
146,56,0,0,15,5
159,43,0,0,15,6
156,41,0,0,15,7
155,53,0,0,15,8
174,25,0,0,15,9
155,45,0,0,16,0
149,43,0,0,16,1
165,52,0,0,16,2
136,57,0,1,16,3
129,58,0,0,16,4
140,60,0,0,16,5
155,47,0,0,16,6
148,50,0,0,16,7
150,61,0,0,16,8
166,33,0,0,16,9
148,49,0,0,17,0
145,47,0,0,17,1
157,62,0,0,17,2
131,60,0,1,17,3
127,61,0,0,17,4
136,66,0,0,17,5
152,50,0,0,17,6
148,50,0,1,17,7
141,69,0,0,17,8
158,41,0,0,17,9
149,49,0,0,18,0
141,49,0,0,18,1
150,70,1,0,18,2
125,66,0,1,18,3
126,61,0,0,18,4
132,69,0,0,18,5
147,55,0,0,18,6
148,51,0,1,18,7
134,75,0,0,18,8
148,52,0,0,18,9
144,54,0,0,19,0
141,52,0,0,19,1
143,74,2,0,19,2
121,69,0,1,19,3
120,66,0,0,19,4
132,73,0,0,19,5
138,62,0,0,19,6
141,55,0,1,19,7
130,82,0,0,19,8
138,61,0,0,19,9
134,61,1,0,20,0
137,57,0,0,20,1
135,84,2,0,20,2
120,69,0,1,20,3
115,69,0,0,20,4
127,80,0,0,20,5
131,67,0,0,20,6
138,56,0,1,20,7
123,89,0,0,20,8
136,66,0,1,20,9
132,63,1,0,21,0
134,61,0,0,21,1
125,93,2,0,21,2
115,73,0,1,21,3
110,71,1,0,21,4
122,86,0,0,21,5
124,74,0,0,21,6
131,64,0,1,21,7
118,95,0,0,21,8
129,72,1,1,21,9
124,70,1,0,22,0
125,69,0,0,22,1
117,100,3,0,22,2
112,76,0,1,22,3
109,74,1,0,22,4
114,93,0,0,22,5
121,77,0,1,22,6
127,70,0,1,22,7
115,98,0,0,22,8
124,75,1,1,22,9
121,71,2,0,23,0
121,71,1,0,23,1
113,106,3,0,23,2
111,77,1,1,23,3
105,76,2,0,23,4
107,101,0,0,23,5
114,83,0,1,23,6
127,71,1,1,23,7
112,99,1,0,23,8
118,80,1,1,23,9
114,77,2,0,24,0
112,79,1,0,24,1
113,107,3,0,24,2
111,77,2,1,24,3
102,79,2,0,24,4
103,106,0,0,24,5
106,89,0,2,24,6
121,75,1,1,24,7
110,101,4,0,24,8
116,81,1,1,24,9
111,82,3,1,25,0
110,76,3,0,25,1
109,117,3,0,25,2
103,81,3,2,25,3
99,83,2,0,25,4
96,111,1,0,25,5
103,92,0,2,25,6
117,78,1,1,25,7
107,101,4,1,25,8
110,85,1,1,25,9
106,84,3,2,26,0
108,82,4,0,26,1
102,123,3,0,26,2
100,85,4,2,26,3
95,86,3,0,26,4
94,112,1,0,26,5
97,97,0,2,26,6
113,79,2,1,26,7
103,104,5,1,26,8
103,92,1,1,26,9
96,93,4,2,27,0
106,85,4,0,27,1
101,125,4,0,27,2
94,90,4,3,27,3
93,86,3,0,27,4
92,111,2,0,27,5
91,103,0,2,27,6
113,80,2,1,27,7
99,107,5,2,27,8
102,93,1,1,27,9
93,96,5,2,28,0
101,88,5,0,28,1
95,130,4,0,28,2
93,90,4,3,28,3
87,92,3,2,28,4
92,111,4,0,28,5
89,104,1,1,28,6
108,85,3,1,28,7
93,109,6,3,28,8
98,95,2,2,28,9
90,99,5,3,29,0
96,94,4,0,29,1
89,135,4,1,29,2
