Susceptible,Infected,Recover,Dead,Iter,Zone
201,1,0,0,1,0
199,1,0,0,1,1
202,1,0,0,1,2
197,1,0,0,1,3
201,2,0,0,1,4
198,1,0,0,1,5
199,1,0,0,1,6
195,2,0,0,1,7
198,1,0,0,1,8
198,1,0,0,1,9
200,2,0,0,2,0
199,1,0,0,2,1
204,1,0,0,2,2
198,1,0,0,2,3
200,2,0,0,2,4
195,3,0,0,2,5
199,1,0,0,2,6
195,2,0,0,2,7
197,3,0,0,2,8
196,1,0,0,2,9
200,3,0,0,3,0
196,2,0,0,3,1
203,1,0,0,3,2
199,1,0,0,3,3
199,2,0,0,3,4
194,3,0,0,3,5
199,1,0,0,3,6
196,2,0,0,3,7
197,3,0,0,3,8
198,1,0,0,3,9
197,4,0,0,4,0
197,2,0,0,4,1
206,2,0,0,4,2
198,1,0,0,4,3
199,3,0,0,4,4
192,3,0,0,4,5
202,1,0,0,4,6
194,2,0,0,4,7
194,5,0,0,4,8
197,1,0,0,4,9
199,5,0,0,5,0
197,2,0,0,5,1
204,2,0,0,5,2
197,1,0,0,5,3
196,6,0,0,5,4
195,3,0,0,5,5
202,1,0,0,5,6
194,2,0,0,5,7
190,7,0,0,5,8
194,3,0,0,5,9
196,5,0,0,6,0
196,2,0,0,6,1
203,2,0,0,6,2
198,1,0,0,6,3
190,11,0,0,6,4
194,3,0,0,6,5
203,1,0,0,6,6
194,2,0,0,6,7
192,7,0,0,6,8
197,3,0,0,6,9
195,5,0,0,7,0
197,1,0,0,7,1
206,2,0,0,7,2
197,1,0,0,7,3
187,15,0,0,7,4
193,3,0,0,7,5
201,1,0,0,7,6
192,2,0,0,7,7
190,11,0,0,7,8
198,3,0,0,7,9
196,6,0,0,8,0
195,1,0,0,8,1
207,2,0,0,8,2
195,1,0,0,8,3
185,17,0,0,8,4
187,8,0,0,8,5
203,1,0,0,8,6
191,2,0,0,8,7
183,19,0,0,8,8
197,4,0,0,8,9
187,15,0,0,9,0
195,1,0,0,9,1
206,3,0,0,9,2
193,1,0,0,9,3
183,19,0,0,9,4
180,13,0,0,9,5
202,1,0,0,9,6
193,2,0,0,9,7
184,19,0,0,9,8
199,4,0,0,9,9
177,24,0,0,10,0
197,1,0,0,10,1
205,3,0,0,10,2
192,1,0,0,10,3
180,22,0,0,10,4
176,17,0,0,10,5
199,1,0,0,10,6
196,2,0,0,10,7
175,30,0,0,10,8
198,4,0,0,10,9
174,28,0,0,11,0
200,1,0,0,11,1
203,3,0,0,11,2
188,5,0,0,11,3
172,28,0,0,11,4
171,22,0,0,11,5
198,1,0,0,11,6
195,2,0,0,11,7
171,35,0,0,11,8
199,4,0,0,11,9
162,38,0,0,12,0
196,8,0,0,12,1
203,3,0,0,12,2
183,11,0,0,12,3
160,38,0,0,12,4
162,30,0,0,12,5
195,3,0,0,12,6
195,2,0,0,12,7
164,43,0,0,12,8
200,4,0,0,12,9
162,40,0,0,13,0
183,19,0,0,13,1
201,7,0,0,13,2
178,16,0,0,13,3
156,40,0,0,13,4
159,36,0,0,13,5
186,12,0,0,13,6
188,9,0,0,13,7
155,51,0,0,13,8
197,5,0,0,13,9
158,43,0,0,14,0
174,28,0,0,14,1
194,16,0,0,14,2
177,22,0,0,14,3
151,43,0,0,14,4
152,41,0,0,14,5
180,18,0,0,14,6
175,21,0,0,14,7
152,54,0,0,14,8
196,5,0,0,14,9
153,47,0,0,15,0
161,41,0,0,15,1
183,29,0,0,15,2
169,29,0,0,15,3
150,47,0,0,15,4
145,46,0,0,15,5
170,28,0,0,15,6
169,26,0,0,15,7
146,59,0,0,15,8
191,11,0,0,15,9
149,52,0,0,16,0
156,44,0,0,16,1
171,39,0,0,16,2
163,35,0,0,16,3
147,50,0,0,16,4
140,52,0,0,16,5
159,36,0,0,16,6
163,30,1,0,16,7
142,65,0,0,16,8
180,26,0,0,16,9
143,57,0,0,17,0
150,51,0,0,17,1
162,51,0,0,17,2
154,42,0,0,17,3
143,52,0,0,17,4
134,58,0,0,17,5
152,46,0,0,17,6
155,38,1,0,17,7
135,69,0,0,17,8
171,36,0,0,17,9
142,61,0,0,18,0
150,50,0,0,18,1
151,63,0,0,18,2
148,49,0,0,18,3
141,52,0,0,18,4
129,62,0,0,18,5
147,50,0,0,18,6
147,46,1,0,18,7
132,73,0,0,18,8
161,45,0,0,18,9
138,64,0,0,19,0
145,56,0,0,19,1
141,74,0,0,19,2
143,55,0,0,19,3
135,56,0,1,19,4
127,66,0,0,19,5
139,56,0,0,19,6
141,52,1,0,19,7
127,78,0,0,19,8
153,52,0,0,19,9
134,70,0,0,20,0
139,64,0,0,20,1
138,78,0,0,20,2
139,59,0,1,20,3
130,63,0,1,20,4
124,65,0,1,20,5
131,62,0,0,20,6
132,58,1,0,20,7
120,86,0,0,20,8
145,59,0,0,20,9
129,75,0,0,21,0
135,68,0,0,21,1
129,86,0,0,21,2
137,59,0,1,21,3
124,70,0,2,21,4
122,68,0,1,21,5
128,65,1,0,21,6
128,62,1,0,21,7
114,93,0,0,21,8
136,66,0,0,21,9
125,81,0,0,22,0
130,71,0,0,22,1
125,92,0,0,22,2
131,65,0,1,22,3
119,74,0,3,22,4
118,71,0,1,22,5
120,72,1,0,22,6
128,62,1,0,22,7
112,93,1,0,22,8
133,70,0,0,22,9
119,90,0,0,23,0
125,76,0,0,23,1
122,94,0,0,23,2
124,71,0,1,23,3
115,78,1,3,23,4
113,75,1,1,23,5
117,74,1,0,23,6
124,66,1,0,23,7
107,94,2,0,23,8
129,76,0,0,23,9
116,91,1,0,24,0
115,84,0,0,24,1
116,101,0,0,24,2
117,78,0,1,24,3
110,85,1,3,24,4
111,75,2,1,24,5
117,73,1,0,24,6
119,72,1,0,24,7
105,95,2,0,24,8
127,80,0,0,24,9
114,89,4,0,25,0
107,90,0,1,25,1
108,108,0,0,25,2
117,78,0,1,25,3
104,89,3,3,25,4
109,77,2,1,25,5
110,79,1,0,25,6
116,77,1,0,25,7
102,101,2,0,25,8
119,86,0,1,25,9
111,92,7,0,26,0
105,90,0,1,26,1
107,109,0,0,26,2
116,82,1,1,26,3
101,89,5,3,26,4
104,77,5,1,26,5
107,83,0,0,26,6
112,79,1,0,26,7
100,101,3,0,26,8
113,93,0,1,26,9
106,94,9,2,27,0
103,91,0,1,27,1
102,115,0,0,27,2
112,85,1,1,27,3
97,92,5,3,27,4
102,78,7,1,27,5
104,83,0,0,27,6
112,80,2,0,27,7
97,104,4,1,27,8
109,95,1,1,27,9
103,97,10,2,28,0
100,91,2,1,28,1
101,113,0,0,28,2
106,91,1,1,28,3
90,98,5,3,28,4
101,76,7,2,28,5
102,86,0,0,28,6
110,81,2,0,28,7
95,109,5,1,28,8
107,99,1,1,28,9
95,104,11,2,29,0
96,91,4,1,29,1
98,114,0,0,29,2
102,94,2,1,29,3
87,104,4,3,29,4
96,80,8,2,29,5
98,88,2,1,29,6
109,81,3,2,29,7
91,112,7,1,29,8
104,100,1,1,29,9
88,110,11,4,30,0
93,95,5,1,30,1
96,113,2,0,30,2
102,92,3,1,30,3
81,108,5,4,30,4
92,81,10,2,30,5
97,88,2,1,30,6
109,81,5,2,30,7
84,120,8,1,30,8
99,102,0,2,30,9
85,112,13,4,31,0
89,97,5,2,31,1
90,118,3,0,31,2
97,95,3,2,31,3
82,104,7,4,31,4
90,80,10,3,31,5
96,89,2,1,31,6
103,89,5,2,31,7
79,122,9,1,31,8
100,106,0,1,31,9
84,113,15,4,32,0
88,99,6,2,32,1
85,122,4,0,32,2
95,95,4,2,32,3
77,108,8,4,32,4
87,80,10,4,32,5
95,88,2,1,32,6
99,95,6,2,32,7
74,120,12,3,32,8
97,107,2,1,32,9
80,118,16,4,33,0
86,98,8,2,33,1
85,121,6,0,33,2
91,98,4,3,33,3
74,107,9,5,33,4
85,83,10,4,33,5
90,90,4,1,33,6
93,98,7,2,33,7
71,122,14,3,33,8
96,108,2,2,33,9
81,116,18,4,34,0
77,105,10,2,34,1
83,123,6,0,34,2
89,97,6,3,34,3
73,109,9,6,34,4
86,80,10,5,34,5
83,95,5,1,34,6
87,102,9,3,34,7
66,124,17,3,34,8
90,113,2,2,34,9
76,119,20,5,35,0
77,102,13,4,35,1
79,123,9,1,35,2
86,98,8,3,35,3
74,107,10,6,35,4
83,82,11,6,35,5
78,96,6,2,35,6
85,103,10,3,35,7
61,122,21,4,35,8
83,119,2,3,35,9
72,123,21,5,36,0
77,101,16,4,36,1
74,125,10,3,36,2
84,96,9,3,36,3
69,106,14,6,36,4
79,78,15,8,36,5
74,101,7,2,36,6
78,108,10,4,36,7
60,123,23,6,36,8
81,119,2,4,36,9
72,121,21,6,37,0
74,102,17,5,37,1
70,125,13,6,37,2
80,98,9,4,37,3
66,109,15,6,37,4
76,80,14,9,37,5
73,100,8,2,37,6
74,111,12,4,37,7
54,126,29,6,37,8
78,117,3,5,37,9
71,120,21,8,38,0
72,102,20,6,38,1
65,130,13,8,38,2
79,96,10,4,38,3
65,109,16,5,38,4
73,84,15,10,38,5
72,100,9,3,38,6
72,111,13,6,38,7
53,122,31,6,38,8
74,119,3,4,38,9
70,119,23,9,39,0
73,102,21,8,39,1
62,129,15,8,39,2
79,92,13,5,39,3
61,111,17,6,39,4
66,91,15,11,39,5
70,99,11,3,39,6
65,113,15,7,39,7
50,122,33,6,39,8
72,118,4,6,39,9
67,118,26,10,40,0
66,106,24,9,40,1
62,125,18,8,40,2
74,95,16,5,40,3
62,111,17,7,40,4
63,93,15,11,40,5
70,99,11,4,40,6
60,114,17,9,40,7
45,123,34,6,40,8
69,115,9,7,40,9
65,118,27,10,41,0
60,106,27,10,41,1
62,122,23,8,41,2
68,99,19,5,41,3
59,111,20,7,41,4
61,90,19,11,41,5
67,101,13,4,41,6
56,117,18,10,41,7
41,120,38,7,41,8
70,111,11,9,41,9
61,115,31,12,42,0
58,106,28,10,42,1
59,123,24,8,42,2
66,98,22,5,42,3
56,118,19,7,42,4
59,92,18,12,42,5
63,104,16,3,42,6
53,112,25,12,42,7
38,121,38,7,42,8
68,110,13,10,42,9
59,116,33,12,43,0
55,110,27,10,43,1
56,121,25,11,43,2
63,96,24,7,43,3
54,118,19,10,43,4
57,89,19,14,43,5
63,100,19,4,43,6
51,113,27,12,43,7
39,121,38,7,43,8
68,107,15,11,43,9
53,122,32,13,44,0
53,107,31,11,44,1
54,120,27,11,44,2
64,95,23,7,44,3
53,118,23,11,44,4
53,87,23,15,44,5
63,98,20,5,44,6
50,113,27,14,44,7
33,127,38,7,44,8
62,108,16,13,44,9
47,126,35,14,45,0
51,104,33,13,45,1
54,113,32,11,45,2
61,96,27,6,45,3
52,117,24,13,45,4
50,89,25,15,45,5
59,100,20,6,45,6
48,109,31,15,45,7
33,126,39,7,45,8
59,109,17,14,45,9
44,126,38,15,46,0
50,100,35,14,46,1
54,111,35,11,46,2
56,100,28,6,46,3
54,111,28,13,46,4
48,90,26,16,46,5
54,105,19,7,46,6
46,109,32,18,46,7
33,118,43,10,46,8
56,105,22,14,46,9
41,120,43,17,47,0
49,101,36,14,47,1
51,107,40,13,47,2
55,99,30,7,47,3
55,106,31,14,47,4
46,91,27,17,47,5
52,105,22,7,47,6
43,106,34,20,47,7
32,115,44,11,47,8
56,106,24,13,47,9
41,119,41,18,48,0
46,99,41,15,48,1
50,105,42,13,48,2
52,100,31,8,48,3
54,106,34,13,48,4
46,86,30,17,48,5
51,98,26,9,48,6
42,104,38,20,48,7
33,114,48,11,48,8
53,107,26,13,48,9
41,117,44,19,49,0
46,93,44,17,49,1
49,103,43,15,49,2
50,98,32,8,49,3
53,103,38,14,49,4
47,85,30,19,49,5
48,95,35,10,49,6
40,101,42,21,49,7
30,114,49,11,49,8
50,104,28,14,49,9
41,114,47,19,50,0
46,89,45,18,50,1
47,99,46,16,50,2
50,97,33,10,50,3
48,98,47,14,50,4
44,85,31,20,50,5
47,95,37,11,50,6
39,99,44,21,50,7
28,113,50,13,50,8
48,105,32,14,50,9
41,109,49,21,51,0
47,88,47,18,51,1
45,99,46,16,51,2
47,99,33,12,51,3
45,97,51,15,51,4
41,85,32,22,51,5
44,96,38,13,51,6
37,95,46,23,51,7
28,109,52,15,51,8
46,104,35,14,51,9
37,105,53,25,52,0
42,94,46,19,52,1
44,98,50,16,52,2
46,97,34,14,52,3
41,96,52,16,52,4
38,83,33,25,52,5
41,99,40,16,52,6
34,95,47,24,52,7
24,109,53,16,52,8
45,99,39,15,52,9
36,101,56,27,53,0
41,93,47,20,53,1
39,101,51,16,53,2
45,93,37,14,53,3
40,91,55,17,53,4
35,84,34,27,53,5
41,95,45,17,53,6
32,94,50,25,53,7
21,107,55,18,53,8
44,97,41,18,53,9
34,98,59,28,54,0
36,95,49,21,54,1
39,95,53,19,54,2
45,90,39,18,54,3
36,88,58,19,54,4
33,79,39,29,54,5
37,91,50,18,54,6
32,90,52,27,54,7
23,108,56,18,54,8
39,100,42,18,54,9
28,98,62,31,55,0
35,97,48,21,55,1
39,93,56,22,55,2
43,90,40,21,55,3
32,90,58,20,55,4
32,81,39,29,55,5
37,89,50,19,55,6
30,86,53,29,55,7
21,104,58,20,55,8
35,100,46,18,55,9
26,95,67,34,56,0
33,91,53,22,56,1
35,91,59,23,56,2
42,87,42,23,56,3
32,87,60,21,56,4
31,77,41,30,56,5
35,90,52,20,56,6
30,81,57,30,56,7
18,103,60,19,56,8
33,100,49,21,56,9
25,92,69,36,57,0
32,89,57,22,57,1
31,88,64,24,57,2
41,84,42,28,57,3
32,83,62,22,57,4
29,74,44,31,57,5
32,91,53,21,57,6
26,84,57,30,57,7
18,108,60,18,57,8
32,97,51,21,57,9
24,85,74,40,58,0
31,84,63,22,58,1
30,88,64,25,58,2
35,83,43,33,58,3
31,82,64,21,58,4
30,70,47,32,58,5
30,87,55,22,58,6
21,87,58,33,58,7
19,101,64,20,58,8
30,97,54,21,58,9
21,84,74,43,59,0
29,84,64,24,59,1
30,82,70,25,59,2
34,81,44,35,59,3
29,84,63,21,59,4
29,70,48,32,59,5
31,85,59,21,59,6
17,87,61,34,59,7
18,93,71,21,59,8
27,94,57,24,59,9
21,82,75,45,60,0
29,77,68,25,60,1
28,80,74,26,60,2
32,77,48,37,60,3
26,81,64,24,60,4
26,70,53,31,60,5
31,85,62,21,60,6
15,84,65,35,60,7
16,87,75,23,60,8
28,90,58,26,60,9
21,82,73,45,61,0
29,76,67,25,61,1
26,81,74,26,61,2
31,73,52,40,61,3
24,82,68,26,61,4
25,68,54,32,61,5
31,81,68,20,61,6
16,79,68,35,61,7
14,84,76,26,61,8
27,86,62,27,61,9
20,82,73,45,62,0
29,75,69,26,62,1
26,73,77,29,62,2
30,69,55,41,62,3
24,75,72,27,62,4
24,67,57,30,62,5
28,78,70,26,62,6
16,75,71,35,62,7
12,83,79,26,62,8
27,86,66,27,62,9
18,73,82,47,63,0
28,73,74,28,63,1
24,71,79,30,63,2
30,62,59,42,63,3
24,70,75,28,63,4
25,63,58,31,63,5
28,69,76,27,63,6
16,73,76,36,63,7
11,78,83,27,63,8
26,87,66,27,63,9
18,69,85,48,64,0
28,69,78,28,64,1
22,70,79,32,64,2
30,57,61,45,64,3
22,65,77,30,64,4
24,60,60,32,64,5
27,69,78,28,64,6
15,69,84,36,64,7
10,69,90,29,64,8
24,87,68,28,64,9
18,66,87,48,65,0
26,68,80,32,65,1
22,66,82,33,65,2
30,57,60,47,65,3
22,62,80,28,65,4
23,62,59,32,65,5
25,70,80,28,65,6
13,68,85,39,65,7
10,66,91,31,65,8
21,85,69,29,65,9
16,70,88,46,66,0
24,66,85,32,66,1
23,61,85,33,66,2
29,55,64,46,66,3
21,59,83,28,66,4
21,60,60,33,66,5
23,67,81,31,66,6
13,65,87,43,66,7
9,61,96,33,66,8
21,80,70,32,66,9
16,63,94,47,67,0
24,62,88,31,67,1
22,60,88,32,67,2
29,54,67,45,67,3
21,58,82,30,67,4
21,57,65,32,67,5
22,63,83,33,67,6
13,63,91,44,67,7
8,60,95,36,67,8
20,75,70,36,67,9
16,60,96,46,68,0
24,62,88,31,68,1
22,57,92,34,68,2
28,54,66,48,68,3
20,58,84,30,68,4
21,51,65,35,68,5
22,57,88,37,68,6
12,60,92,44,68,7
7,55,98,38,68,8
19,72,75,36,68,9
15,57,97,48,69,0
22,58,95,30,69,1
21,57,94,33,69,2
26,54,68,47,69,3
20,55,84,31,69,4
20,48,71,35,69,5
21,57,90,37,69,6
11,57,94,45,69,7
6,53,99,42,69,8
17,73,77,35,69,9
15,54,97,50,70,0
22,56,95,32,70,1
21,50,95,36,70,2
26,50,73,47,70,3
19,51,86,33,70,4
20,47,73,34,70,5
19,60,90,38,70,6
11,56,97,43,70,7
6,53,102,43,70,8
17,67,80,36,70,9
14,53,97,50,71,0
22,54,95,35,71,1
17,52,99,36,71,2
26,47,75,47,71,3
19,51,85,33,71,4
20,42,74,36,71,5
19,57,91,39,71,6
11,55,99,44,71,7
7,51,106,41,71,8
17,64,84,36,71,9
14,48,98,53,72,0
21,55,98,34,72,1
17,50,102,38,72,2
26,43,77,47,72,3
